Compound,Element,Anion,MW (g/mol),Temp (°C),Mass %,Molarity (M),log S,g/100mL H2O,Source,Substance Name,SMILES,Data Quality,SD,Measurements
BaI2,Ba,I,391.14,50,70.1,1.7922,0.2534,234.4482,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaI2,Ba,I,391.14,60,70.7,1.8075,0.2571,241.2969,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaI2,Ba,I,391.14,70,71.3,1.8229,0.2608,248.4321,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaI2,Ba,I,391.14,80,72,1.8408,0.265,257.1429,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaI2,Ba,I,391.14,90,72.7,1.8587,0.2692,266.3004,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
BaI2,Ba,I,391.14,100,73.4,1.8766,0.2734,275.9398,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaBr2,Ca,Br,199.89,0,55,2.7515,0.4396,122.2222,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaBr2,Ca,Br,199.89,20,56,2.8015,0.4474,127.2727,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaBr2,Ca,Br,199.89,30,59,2.9516,0.4701,143.9024,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaBr2,Ca,Br,199.89,40,61,3.0517,0.4845,156.4103,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaBr2,Ca,Br,199.89,50,63,3.1517,0.4985,170.2703,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaBr2,Ca,Br,199.89,70,68,3.4019,0.5317,212.5,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaBr2,Ca,Br,199.89,80,71,3.552,0.5505,244.8276,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaBr2,Ca,Br,199.89,100,73,3.652,0.5625,270.3704,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaCl2,Ca,Cl,110.98,0,36.7,3.3069,0.5194,57.9779,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaCl2,Ca,Cl,110.98,10,39.19,3.5313,0.5479,64.4466,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaCl2,Ca,Cl,110.98,20,42.13,3.7962,0.5793,72.8011,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaCl2,Ca,Cl,110.98,25,44.83,4.0395,0.6063,81.2579,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaCl2,Ca,Cl,110.98,30,49.12,4.426,0.646,96.5409,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaCl2,Ca,Cl,110.98,40,52.85,4.7621,0.6778,112.0891,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaCl2,Ca,Cl,110.98,50,56.05,5.0505,0.7033,127.5313,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaCl2,Ca,Cl,110.98,60,56.73,5.1117,0.7086,131.107,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaCl2,Ca,Cl,110.98,70,57.44,5.1757,0.714,134.9624,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaCl2,Ca,Cl,110.98,80,58.21,5.2451,0.7198,139.2917,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaCl2,Ca,Cl,110.98,90,59.04,5.3199,0.7259,144.1406,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CaCl2,Ca,Cl,110.98,100,59.94,5.401,0.7325,149.6256,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdBr2,Cd,Br,272.22,0,36,1.3225,0.1214,56.25,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdBr2,Cd,Br,272.22,10,43,1.5796,0.1985,75.4386,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdBr2,Cd,Br,272.22,20,49.9,1.8331,0.2632,99.6008,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdBr2,Cd,Br,272.22,25,53.4,1.9616,0.2926,114.5923,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdBr2,Cd,Br,272.22,30,56.4,2.0719,0.3164,129.3578,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdBr2,Cd,Br,272.22,40,60.3,2.2151,0.3454,151.8892,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdBr2,Cd,Br,272.22,50,60.3,2.2151,0.3454,151.8892,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdBr2,Cd,Br,272.22,60,60.5,2.2225,0.3468,153.1646,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdBr2,Cd,Br,272.22,70,60.7,2.2298,0.3483,154.4529,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdBr2,Cd,Br,272.22,80,60.9,2.2372,0.3497,155.7545,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdBr2,Cd,Br,272.22,90,61.3,2.2519,0.3525,158.3979,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdBr2,Cd,Br,272.22,100,61.6,2.2629,0.3547,160.4167,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdCl2,Cd,Cl,183.32,0,47.2,2.5747,0.4107,89.3939,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdCl2,Cd,Cl,183.32,10,50.1,2.7329,0.4366,100.4008,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdCl2,Cd,Cl,183.32,20,53.2,2.902,0.4627,113.6752,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdCl2,Cd,Cl,183.32,25,54.6,2.9784,0.474,120.2643,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdCl2,Cd,Cl,183.32,30,56.3,3.0711,0.4873,128.833,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdCl2,Cd,Cl,183.32,40,57.3,3.1257,0.4949,134.192,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdCl2,Cd,Cl,183.32,50,57.5,3.1366,0.4965,135.2941,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdCl2,Cd,Cl,183.32,60,57.8,3.153,0.4987,136.9668,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdCl2,Cd,Cl,183.32,70,58.1,3.1693,0.501,138.6635,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdCl2,Cd,Cl,183.32,80,58.51,3.1917,0.504,141.0219,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdCl2,Cd,Cl,183.32,90,58.98,3.2173,0.5075,143.7835,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CdCl2,Cd,Cl,183.32,100,59.5,3.2457,0.5113,146.9136,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CoCl2,Co,Cl,129.84,0,30.3,2.3336,0.368,43.472,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CoCl2,Co,Cl,129.84,10,32.6,2.5108,0.3998,48.368,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CoCl2,Co,Cl,129.84,20,34.87,2.6856,0.429,53.5391,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CoCl2,Co,Cl,129.84,25,35.99,2.7719,0.4428,56.2256,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CoCl2,Co,Cl,129.84,30,37.1,2.8574,0.456,58.9825,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CoCl2,Co,Cl,129.84,40,39.27,3.0245,0.4807,64.6633,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CoCl2,Co,Cl,129.84,50,41.38,3.187,0.5034,70.5902,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CoCl2,Co,Cl,129.84,60,43.46,3.3472,0.5247,76.8659,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CoCl2,Co,Cl,129.84,70,45.5,3.5043,0.5446,83.4862,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CoCl2,Co,Cl,129.84,80,47.51,3.6591,0.5634,90.5125,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CoCl2,Co,Cl,129.84,90,49.51,3.8132,0.5813,98.059,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CoCl2,Co,Cl,129.84,100,51.5,3.9664,0.5984,106.1856,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuCl2,Cu,Cl,134.45,0,40.8,3.0346,0.4821,68.9189,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuCl2,Cu,Cl,134.45,10,41.7,3.1015,0.4916,71.5266,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuCl2,Cu,Cl,134.45,20,42.6,3.1685,0.5008,74.216,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuCl2,Cu,Cl,134.45,25,43.1,3.2057,0.5059,75.7469,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuCl2,Cu,Cl,134.45,30,43.7,3.2503,0.5119,77.6199,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuCl2,Cu,Cl,134.45,40,44.8,3.3321,0.5227,81.1594,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuCl2,Cu,Cl,134.45,50,46,3.4213,0.5342,85.1852,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuCl2,Cu,Cl,134.45,60,47.2,3.5106,0.5454,89.3939,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuCl2,Cu,Cl,134.45,70,48.5,3.6073,0.5572,94.1748,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuCl2,Cu,Cl,134.45,80,49.9,3.7114,0.5695,99.6008,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuCl2,Cu,Cl,134.45,90,51.3,3.8155,0.5816,105.3388,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuCl2,Cu,Cl,134.45,100,52.7,3.9197,0.5932,111.4165,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuSO4,Cu,SO,159.61,0,12.4,0.7769,-0.1096,14.1553,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuSO4,Cu,SO,159.61,10,14.4,0.9022,-0.0447,16.8224,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuSO4,Cu,SO,159.61,20,16.7,1.0463,0.0197,20.048,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuSO4,Cu,SO,159.61,25,18,1.1277,0.0522,21.9512,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuSO4,Cu,SO,159.61,30,19.3,1.2092,0.0825,23.9157,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuSO4,Cu,SO,159.61,40,22.2,1.3909,0.1433,28.5347,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuSO4,Cu,SO,159.61,50,25.4,1.5914,0.2018,34.0483,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuSO4,Cu,SO,159.61,60,28.8,1.8044,0.2563,40.4494,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuSO4,Cu,SO,159.61,70,32.4,2.0299,0.3075,47.929,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuSO4,Cu,SO,159.61,80,36.3,2.2743,0.3568,56.9859,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuSO4,Cu,SO,159.61,90,40.3,2.5249,0.4022,67.5042,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
CuSO4,Cu,SO,159.61,100,43.5,2.7254,0.4354,76.9912,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeCl2,Fe,Cl,126.75,0,33.2,2.6193,0.4182,49.7006,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeCl2,Fe,Cl,126.75,20,39.4,3.1085,0.4925,65.0165,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeCl2,Fe,Cl,126.75,50,48.7,3.8422,0.5846,94.9318,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeCl2,Fe,Cl,126.75,100,7,0.5523,-0.2578,7.5269,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeCl3,Fe,Cl,162.2,0,42.7,2.6326,0.4204,74.5201,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeCl3,Fe,Cl,162.2,10,44.9,2.7682,0.4422,81.4882,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeCl3,Fe,Cl,162.2,20,47.9,2.9531,0.4703,91.9386,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeCl3,Fe,Cl,162.2,25,47.7,2.9408,0.4685,91.2046,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeCl3,Fe,Cl,162.2,30,51.6,3.1813,0.5026,106.6116,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeCl3,Fe,Cl,162.2,40,74.8,4.6116,0.6639,296.8254,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeCl3,Fe,Cl,162.2,50,76.7,4.7287,0.6747,329.1845,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeCl3,Fe,Cl,162.2,60,84.6,5.2158,0.7173,549.3506,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeCl3,Fe,Cl,162.2,70,84.3,5.1973,0.7158,536.9427,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeCl3,Fe,Cl,162.2,80,84.3,5.1973,0.7158,536.9427,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeCl3,Fe,Cl,162.2,90,84.4,5.2035,0.7163,541.0256,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeCl3,Fe,Cl,162.2,100,84.7,5.2219,0.7178,553.5948,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeSO4,Fe,SO,151.91,0,13.5,0.8887,-0.0513,15.6069,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeSO4,Fe,SO,151.91,10,17,1.1191,0.0489,20.4819,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeSO4,Fe,SO,151.91,20,20.8,1.3692,0.1365,26.2626,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeSO4,Fe,SO,151.91,25,22.8,1.5009,0.1763,29.5337,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeSO4,Fe,SO,151.91,30,24.8,1.6325,0.2129,32.9787,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeSO4,Fe,SO,151.91,40,28.8,1.8959,0.2778,40.4494,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeSO4,Fe,SO,151.91,50,32.8,2.1592,0.3343,48.8095,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeSO4,Fe,SO,151.91,60,35.5,2.3369,0.3686,55.0388,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeSO4,Fe,SO,151.91,70,33.6,2.2118,0.3448,50.6024,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeSO4,Fe,SO,151.91,80,30.4,2.0012,0.3013,43.6782,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeSO4,Fe,SO,151.91,90,27.1,1.784,0.2514,37.1742,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
FeSO4,Fe,SO,151.91,100,24,1.5799,0.1986,31.5789,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
HgCl2,Hg,Cl,271.5,0,4.24,0.1562,-0.8064,4.4277,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
HgCl2,Hg,Cl,271.5,10,5.05,0.186,-0.7305,5.3186,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
HgCl2,Hg,Cl,271.5,20,6.17,0.2273,-0.6435,6.5757,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
HgCl2,Hg,Cl,271.5,25,6.81,0.2508,-0.6006,7.3077,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
HgCl2,Hg,Cl,271.5,30,7.62,0.2807,-0.5518,8.2485,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
HgCl2,Hg,Cl,271.5,40,9.53,0.351,-0.4547,10.5339,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
HgCl2,Hg,Cl,271.5,50,12.02,0.4427,-0.3539,13.6622,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
HgCl2,Hg,Cl,271.5,60,15.18,0.5591,-0.2525,17.8967,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
HgCl2,Hg,Cl,271.5,70,19.16,0.7057,-0.1514,23.7011,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
HgCl2,Hg,Cl,271.5,80,24.06,0.8862,-0.0525,31.6829,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
HgCl2,Hg,Cl,271.5,90,29.9,1.1013,0.0419,42.6534,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
HgCl2,Hg,Cl,271.5,100,36.62,1.3488,0.1299,57.7785,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
K2SO4,K,SO,174.26,0,7.11,0.408,-0.3893,7.6542,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
K2SO4,K,SO,174.26,10,8.46,0.4855,-0.3138,9.2419,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
K2SO4,K,SO,174.26,20,9.95,0.571,-0.2434,11.0494,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
K2SO4,K,SO,174.26,25,10.7,0.614,-0.2118,11.9821,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
K2SO4,K,SO,174.26,30,11.4,0.6542,-0.1843,12.8668,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
K2SO4,K,SO,174.26,40,12.9,0.7403,-0.1306,14.8106,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
K2SO4,K,SO,174.26,50,14.2,0.8149,-0.0889,16.5501,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
K2SO4,K,SO,174.26,60,15.5,0.8895,-0.0509,18.3432,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
K2SO4,K,SO,174.26,70,16.7,0.9583,-0.0185,20.048,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
K2SO4,K,SO,174.26,80,17.7,1.0157,0.0068,21.5067,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
K2SO4,K,SO,174.26,90,18.6,1.0674,0.0283,22.8501,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
K2SO4,K,SO,174.26,100,19.3,1.1075,0.0444,23.9157,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KBr,K,Br,119,0,35,2.9412,0.4685,53.8462,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KBr,K,Br,119,10,37.3,3.1345,0.4962,59.4896,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KBr,K,Br,119,20,39.4,3.3109,0.5199,65.0165,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KBr,K,Br,119,25,40.4,3.395,0.5308,67.7852,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KBr,K,Br,119,30,41.4,3.479,0.5415,70.6485,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KBr,K,Br,119,40,43.2,3.6303,0.5599,76.0563,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KBr,K,Br,119,50,44.8,3.7647,0.5757,81.1594,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KBr,K,Br,119,60,46.2,3.8824,0.5891,85.8736,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KBr,K,Br,119,70,47.6,4,0.6021,90.8397,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KBr,K,Br,119,80,48.8,4.1008,0.6129,95.3125,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KBr,K,Br,119,90,49.8,4.1849,0.6217,99.2032,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KBr,K,Br,119,100,50.8,4.2689,0.6303,103.252,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KCl,K,Cl,74.55,0,21.74,2.9162,0.4648,27.7792,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KCl,K,Cl,74.55,10,23.61,3.167,0.5006,30.9072,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KCl,K,Cl,74.55,20,25.39,3.4058,0.5322,34.0303,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KCl,K,Cl,74.55,25,26.22,3.5171,0.5462,35.5381,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KCl,K,Cl,74.55,30,27.04,3.6271,0.5596,37.0614,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KCl,K,Cl,74.55,40,28.59,3.835,0.5838,40.0364,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KCl,K,Cl,74.55,50,30.04,4.0295,0.6053,42.9388,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KCl,K,Cl,74.55,60,31.4,4.2119,0.6245,45.7726,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KCl,K,Cl,74.55,70,32.66,4.381,0.6416,48.5001,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KCl,K,Cl,74.55,80,33.86,4.5419,0.6572,51.1944,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KCl,K,Cl,74.55,90,34.99,4.6935,0.6715,53.8225,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KCl,K,Cl,74.55,100,36.05,4.8357,0.6845,56.3722,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO3,K,ClO,122.55,0,3.03,0.2472,-0.6069,3.1247,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO3,K,ClO,122.55,10,4.67,0.3811,-0.419,4.8988,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO3,K,ClO,122.55,20,6.74,0.55,-0.2597,7.2271,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO3,K,ClO,122.55,25,7.93,0.6471,-0.189,8.613,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO3,K,ClO,122.55,30,9.21,0.7515,-0.1241,10.1443,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO3,K,ClO,122.55,40,12.06,0.9841,-0.007,13.7139,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO3,K,ClO,122.55,50,15.26,1.2452,0.0952,18.008,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO3,K,ClO,122.55,60,18.78,1.5324,0.1854,23.1224,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO3,K,ClO,122.55,70,22.65,1.8482,0.2668,29.2825,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO3,K,ClO,122.55,80,26.88,2.1934,0.3411,36.7615,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO3,K,ClO,122.55,90,31.53,2.5728,0.4104,46.0494,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO3,K,ClO,122.55,100,36.65,2.9906,0.4758,57.8532,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO4,K,ClO,138.55,0,0.7,0.0505,-1.2965,0.7049,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO4,K,ClO,138.55,10,1.1,0.0794,-1.1002,1.1122,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO4,K,ClO,138.55,20,1.67,0.1205,-0.9189,1.6984,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO4,K,ClO,138.55,25,2.04,0.1472,-0.832,2.0825,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO4,K,ClO,138.55,30,2.47,0.1783,-0.7489,2.5326,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO4,K,ClO,138.55,40,3.54,0.2555,-0.5926,3.6699,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO4,K,ClO,138.55,50,4.94,0.3565,-0.4479,5.1967,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO4,K,ClO,138.55,60,6.74,0.4865,-0.3129,7.2271,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO4,K,ClO,138.55,70,8.99,0.6489,-0.1878,9.878,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO4,K,ClO,138.55,80,11.71,0.8452,-0.073,13.2631,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO4,K,ClO,138.55,90,14.94,1.0783,0.0327,17.5641,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KClO4,K,ClO,138.55,100,18.67,1.3475,0.1295,22.9559,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KI,K,I,166,0,56,3.3735,0.5281,127.2727,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KI,K,I,166,10,57.6,3.4699,0.5403,135.8491,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KI,K,I,166,20,59,3.5542,0.5507,143.9024,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KI,K,I,166,25,59.7,3.5964,0.5559,148.139,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KI,K,I,166,30,60.4,3.6386,0.5609,152.5253,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KI,K,I,166,40,61.6,3.7108,0.5695,160.4167,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KI,K,I,166,50,62.8,3.7831,0.5779,168.8172,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KI,K,I,166,60,63.8,3.8434,0.5847,176.2431,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KI,K,I,166,70,64.8,3.9036,0.5915,184.0909,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KI,K,I,166,80,65.7,3.9578,0.5975,191.5452,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KI,K,I,166,90,66.6,4.012,0.6034,199.4012,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KI,K,I,166,100,67.4,4.0602,0.6086,206.7485,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KIO3,K,IO,214,0,4.53,0.2117,-0.6743,4.7449,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KIO3,K,IO,214,10,5.96,0.2785,-0.5552,6.3377,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KIO3,K,IO,214,20,7.57,0.3537,-0.4513,8.19,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KIO3,K,IO,214,25,8.44,0.3944,-0.4041,9.218,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KIO3,K,IO,214,30,9.34,0.4364,-0.3601,10.3022,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KIO3,K,IO,214,40,11.09,0.5182,-0.2855,12.4733,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KIO3,K,IO,214,50,13.22,0.6178,-0.2092,15.2339,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
KIO3,K,IO,214,60,15.29,0.7145,-0.146,18.0498,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
